year,event,layer,confidence,source_class
1990s_early,Mark Epstein acquires 301 E 66 from Wexner tip narrative,A-title,SOLID,Crain's
1990,Condo conversion; majority units remain unsold sponsor,A-title,SOLID,ACRIS/DOF pattern
1997,Black book building entry; Apts for models annotation,D,SOLID,WSJ/Rodriguez
2005,MC2 NY-Miami; Epstein financing narrative public,D,SOLID,Wikipedia/Guardian
2008,NPA era; co-conspirators public; address shared in coverage,C,SOLID,public NPA coverage
2009,Visoski dep Groff at building; Edwards multi-apt claim,B/C/D,SOLID,depositions/Page Six
2010,Vasquez sworn multi-apt model housing,D,SOLID,sworn statement
2011,Nine E71 to Maple; 10F deed history; Barrett 12B offer,A/B/E,SOLID,Crain's/emails
2012-03,Groff to Kahn master unit list ~15 units,ALL,SOLID,Curbed/NYPost 2026
2015,Process server 14G Kellen; assignment options email,C/F,SOLID,Giuffre exhibit/emails
2015-2019,Barak Priel regular 11J stays,G,SOLID,Haaretz/DOJ emails
2016-2017,Israeli mission security install 11J,G,SOLID,Drop Site/Al Jazeera
2019,BI Daily Beast deep dives; Epstein arrest,ALL,SOLID,news
2021,Mark Epstein Blood Center views fight,A,SOLID,NYPost
2026-02,Curbed NYPost Drop Site email wave,ALL,SOLID,news
